Product_Name,Product_Price,Product_MRP_Price,Ratings,Review_Count,Screen Resolution,Screen_Size,Brand_Name,Refresh_Rate,Monitor_Category,Model_Number
"Philips 271V8/94 27""(68.58 cm) 1920 x 1080 Pixels IPS Panel Smart Image LCD Monitor with LED Backlight, VGA & HDMI Connectivity, FHD, 4ms Response time, 75Hz Refresh Rate, Flicker Free, Black","9,600","M.R.P: ₹22,990₹22,990",4.3 out of 5 stars,691,Display Resolution Maximum 1920 x 1080 (Full HD),Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 75,Generic Name Monitor,Item model number 271V8/94
"Philips 276E8VJSB 27""(68.5cm) 3840 x 2160 Pixels 4K UHD IPS LED Computer Monitor, 1 Billion+ Colors, Ultra Narrow Borders, Low Blue, Multi-View, (Black, Gunmetal, 276E8VJSB/94)","21,000","M.R.P: ₹53,990₹53,990",4.1 out of 5 stars,76,Display Resolution Maximum 3840 x 2160 Pixels,Screen Size 27 Inches,Brand Philips Monitors,Refresh Rate 60 Hz,Generic Name Monitor,Item model number 276E8VJSB/94
"Philips 2560 x 1440 Pixels 32 inches LCD Monitor with LED Back Lights, with Quad HD Picture Quality 1.07 Billion Colors, Black (325E8/94)","20,160","M.R.P: ₹41,990₹41,990",3.5 out of 5 stars,21,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 31.5 Inches,Brand Philips Monitors,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 325E8/94
"Samsung 24-inch (60.46cm) FHD Flat 1,920 x 1,080 Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LS24C310EAWXXL, Black)","7,899","M.R.P: ₹17,000₹17,000",4.3 out of 5 stars,"4,774","Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 24 Inches,Brand Samsung,Refresh Rate 75 Hz,Generic Name Monitor,Item model number LS24C310EAWXXL
"Acer EK240Y E 23.8 Inch IPS Full HD 1920x1080 Backlit LED LCD Monitor I 1 MS VRB, 100Hz Refresh I 250 Nits I Zero Frame I HDMI & VGA Ports with HDMI Cable I AMD Free Sync I Eye Care Features (Black)","6,656","M.R.P: ₹9,499₹9,499",4.3 out of 5 stars,"2,081",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand Acer,"Special Feature IPS Panel, Blue Light Filter, 100Hz Refresh Rate, 1 MS VRB, Tilt Adjustment",Generic Name Monitor,Item model number UM.QE1SI.E02
"LG Ultragear IPS Gaming Monitor 60 cm (24 Inches), FHD 1920 x 1080, 1ms, 144Hz, AMD FreeSync Compatible, HDR 10, sRGB 99% (Typ.), DP, HDMI, Height, Tilt & Pivot Adjust Stand, 24GN65R (Black)","11,999","M.R.P: ₹23,000₹23,000",4.5 out of 5 stars,365,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 60.45 Inches,Brand LG,Refresh Rate 144 Hz,Generic Name Monitor,Item model number 24GN65R-B
"ZEBRONICS Zeb-V19Hd 18.5 Inch (46.99 Cm) Led Monitor with Supporting Hdmi, Vga Input, Hd 1366 X 768 Pixels, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable, Black","3,099","M.R.P: ₹6,999₹6,999",3.6 out of 5 stars,"3,277",Display Resolution Maximum 1366 x 768 Pixels,Screen Size 46.9 Centimetres,Brand ZEBRONICS,Refresh Rate 60 Hz,"Generic Name Zebronics ZEB-V19HD LED Monitor 18.5inch With Supporting HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Design & Wall Mountable.",Item model number ZEB-V19HD LED
"Samsung 24-Inch(59.8cm) FHD, 75 Hz, 1800R Curved 1,920 X 1,080 LED Monitor, VA Panel, Slim Design, AMD Freesync, Game Mode, Flicker Free, HDMI, Audio Port (LS24C360EAWXXL, Black)","7,699","M.R.P: ₹16,500₹16,500",4.2 out of 5 stars,504,"Display Resolution Maximum 1,920 x 1,080 Pixels",Screen Size 24 Inches,Brand Samsung,Refresh Rate 75 Hz,Generic Name Monitor,Item model number LS24C360EAWXXL
"OnePlus 24 in Full Hd LCD Monitor Led Backlit IPS Panel with 3-Side Bezel Less,USB Type-C Connectivity with 18W Charging,8 Mm Slim,Flicker Free Monitor (Response Time: 5 Ms,75 Hz Refresh Rate),Black","6,870","M.R.P: ₹19,999₹19,999",3.6 out of 5 stars,154,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 24 Inches,Brand OnePlus,Refresh Rate 75 Hz,Generic Name Monitor,Item model number E 24
"FRONTECH 20 Inch HD LED Monitor | Refresh Rate 60 Hz, 1600 x 900 Pixels | Wall Mountable Slim & Stylish Design with 16.7M Colors | HDMI & VGA Ports, Built-in Power Supply (MON-0054,Black)","3,154","M.R.P: ₹8,000₹8,000",3.4 out of 5 stars,"1,244",Display Resolution Maximum 1600 x 900 Pixels,Screen Size 20 Inches,Brand FRONTECH,Refresh Rate 60 Hz,Generic Name LED Monitor,Item model number 20 inch
"BenQ GW2490 23.8” 1080p FHD IPS Monitor, 100Hz,99%sRGB,Eye-careU,Dual HDMI,Display Port,Bezel-less,Eyesafe,VESA MediaSync, Brightness Intelligence,Low Blue Light+, Speakers,VESA Wall mountable(Black)","8,698","M.R.P: ₹13,990₹13,990",4.4 out of 5 stars,"21,285",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand BenQ,Refresh Rate 100 Hz,Generic Name Monitor,Item model number GW2490
"LG Electronics 60 cm/24 inches Full HD IPS 1920 x 1080 Pixels LCD Monitor, Inbuilt Speaker, HDMI x 2, VGA Port, 75 Hz Refresh Rate, AMD Freesync, 3 Side Borderless Slim Design - 24ML600S-W (White)","8,999","M.R.P: ₹18,000₹18,000",4.4 out of 5 stars,"3,420",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand LG,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 24ML600S-W
"BenQ GW2490 23.8” 1080p FHD IPS Monitor, 100Hz,99%sRGB,Eye-careU,Dual HDMI,Display Port,Bezel-less,Eyesafe,VESA MediaSync, Brightness Intelligence,Low Blue Light+, Speakers,VESA Wall mountable(Black)","8,698","M.R.P: ₹13,990₹13,990",4.4 out of 5 stars,"21,285",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 23.8 Inches,Brand BenQ,Refresh Rate 100 Hz,Generic Name Monitor,Item model number GW2490
"ZEBRONICS Zeb-V16HD LED Monitor with15.4 with Supporting HDMI, has VGA Input, HD 1280 x 800 Pixels, Glossy Panel, Slim Feature and Wall mountable.","2,499","M.R.P: ₹4,999₹4,999",3.6 out of 5 stars,"3,277",Display Resolution Maximum 1280 X 800 (HD) Pixels,Screen Size 39.1 Centimetres,Brand ZEBRONICS,Refresh Rate 60 Hz,"Generic Name Zebronics Zeb-V16HD LED Monitor with15.4 with Supporting HDMI, has VGA Input, HD 1280 x 800, Glossy Panel, Slim Feature and Wall mountable.",Item model number ZEB-V16HD LED
"ZEBRONICS 22 inch 75Hz Monitor with FHD 1080p, Free sync Support, HDMI, VGA, 250 Nits max, 16.7M Colors, Built-in Speakers and Slim Bezel Less Design ZEB-S22A","6,399","M.R.P: ₹23,999₹23,999",4.2 out of 5 stars,296,Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 21.5 Inches,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics 22 inch 75Hz Monitor with FHD 1080p, Free sync support, HDMI, VGA, 250 Nits max, 16.7M colors, Built-in speakers and Slim Bezel less design ZEB-S22A",Item model number ZEB-S22A
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black","12,999","M.R.P: ₹29,999₹29,999",3.8 out of 5 stars,"1,633",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 80 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics AC32FHD LED Curved 75Hz 80cm (32"") 1920x1080 FHD resolution monitor with HDMI + VGA dual input, Built-in speaker, Wall mount facility, max 250 Nits brightness and Ultra slim bezel",Item model number ZEB-AC32FHD
"Dell P2422H 24 Inch, FHD Monitor 1920x1080 Pixels, IPS Panel, 3-Year Warranty, Low BlueLight Technology, 3-Sided bezelless, HDMI, VGA, DP & USB Ports, Pivot(Rotation), Swivel, Tilt & HAS, AMD FreeSync","11,500","M.R.P: ₹34,629₹34,629",4.3 out of 5 stars,"4,837",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 24,Brand Dell,Refresh Rate 60 Hz,Generic Name P2422H,Item model number DELL-P2422H
"MSI Pro MP223 21.45 Inch Full HD Office LCD Monitor - 1920 X 1080, 100 Hz, Eye-Friendly Screen, Vesa Mountable, Display Kit Support, Tilt-Adjustable - Hdmi 1.4B, D-Sub (Vga)","5,999","M.R.P: ₹10,999₹10,999",4.3 out of 5 stars,"1,609",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 22 Inches,Brand MSI,Refresh Rate 100 Hz,Generic Name Monitor,Item model number PRO MP223
"Dell S2721HNM 27"" (68.96 cm) FHD Monitor 1920 X 1080 Pixels @75Hz, IPS Panel, 5-Year Warranty, 99% sRGB, Low Blue Light Technology, 3-Sided bezelless, HDMI x2, Tilt Adjustment, AMD FreeSync","12,899","M.R.P: ₹33,989₹33,989",4.3 out of 5 stars,"1,207",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27 Inches,Brand Dell,Refresh Rate 75 Hz,Generic Name S2721HNM,Item model number DELL-S2721HN
"HP M27f 27-inches 68.6cm 1920 x 1080 Pixels Eye-Safe Certified Full HD IPS 3-Sided Micro-Edge Monitor, 75Hz, AMD Free Sync with 1xVGA, 2xHDMI 1.4 Ports, 300 nits 2H0N1AA, M27f FHD Monitor Silver","12,999","M.R.P: ₹19,180₹19,180",4.3 out of 5 stars,"3,521",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 27 Inches,Brand HP,Refresh Rate 75,Generic Name Eye Safe Full HD IPS 27-inch Computer Monitor,Item model number HP M27f FHD Monitor
"LG 24 Inch (60.4cm) IPS FHD Monitor 1920 x 1080,AMD FreeSync, 100Hz, sRGB 99% Typ(CIE1931), Black Stabilizer, Virtual Borderless, Flicker Safe, Reader Mode,OnScreen Control, HDMI,VGA, 24MR400(Black)","7,999","M.R.P: ₹16,500₹16,500",4.4 out of 5 stars,"9,028",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 60.4 Centimetres,Brand LG,Refresh Rate 100 Hz,Generic Name PC Monitor,Item model number 24MR400-B.ATRQ
"LG Ultragear Gaming Monitor(27"") Qhd IPS Display(2560 * 1440),Smooth Gameplay:165Hz & 1Ms,HDR 10,Srgb 99%(Typ.),G-Sync,AMD Freesync Premium,Anti-Glare,Height,Pivot,Hdmi,Dp,Hp Out,27Gr75Q,Black","24,150","M.R.P: ₹36,000₹36,000",4.4 out of 5 stars,314,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 27 Inches,Brand LG,Refresh Rate 165 Hz,Generic Name Monitor,Item model number 27GR75Q-B.ATR
"Lenovo L-Series 60.45cm (24 inch) FHD IPS Ultraslim Monitor | 100Hz, 99% sRGB, AMD FreeSync, HDMI, Tilt Stand, 2x3W Speakers, Smart Display Customization Artery, Home & Office Use, Cloud Grey, L24i-40","8,999","M.R.P: ₹12,790₹12,790",4.4 out of 5 stars,564,Display Resolution Maximum 1920 x 1080,Screen Size 24 Inches,Brand Lenovo,Refresh Rate 100 Hz,Generic Name Monitor,Item model number 67A8KAC3IN
"LG 32"" (80 CM) Ultragear QHD Monitor (2560 X 1440 Pixels), 165 Hz, 1Ms, Nvidia G-Sync Compatible, Freesync Premium, HDR 10, Hdmi, Tilt, Height, Pivot Stand, VA Panel Gaming LCD Monitor, 32GN650 Black","23,499","M.R.P: ₹49,500₹49,500",4.4 out of 5 stars,"3,971",Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 32 Inches,Brand LG,Refresh Rate 165 Hz,Generic Name Monitor,Item model number 32GN650-B.ATR
"ZEBRONICS A24FHD LED Monitor, 24 inch (60.96cm), 250 nits, 75Hz, Slim Design, FHD, 1080p, Wall Mountable, HDMI, VGA, Ultra Slim Bezel, Metal Stand, Built-in Speakers","6,999","M.R.P: ₹24,999₹24,999",3.8 out of 5 stars,"1,648",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 60.4 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics ZEB-A24FHD Ultra slim LED monitor with 60.4cm (24”) wide screen, Full HD 1920x1080, 75Hz refresh rate, HDMI, VGA, 250cd/m² brightness, Built in speaker and wall mountable design",Item model number ZEB-A24FHD
"Samsung 27-Inch (68.4 cm) FHD, 1800R Curved 1,920 X 1,080 LED Monitor, VA Panel, Slim Design, AMD Freesync, Flicker Free, HDMI, Audio Port (LC27R500FHWXXL, Dark Blue Gray)","12,049","M.R.P: ₹22,999₹22,999",4.3 out of 5 stars,184,"Display Resolution Maximum 1,920 x 1,080",Screen Size 27 Inches,Brand Samsung,Refresh Rate 60 Hz,Generic Name Monitor,Item model number LC27R500FHWXXL
"LG Ultragear 69 cm IPS FHD, G-Sync Compatible, HDR 10, Gaming LCD Monitor, Display Port, HDMI x 2, Height Adjust & Pivot Stand, 144Hz, 1ms, 1920 x 1080 Pixels Made in India- 27GL650F (Black)",Does not exist,Does not exist,4.5 out of 5 stars,"9,281",Display Resolution Maximum 1920 x 1080 Pixels,Screen Size 68.5 Centimetres,Brand LG,Refresh Rate 144 Hz,Generic Name PC Monitor,Item model number 27GL650F-B.BTR
"LG UltraWide 29 inch (73 cm) IPS FHD, 2560x1080 Pixels, Color Calibrated, 100Hz, 7W x 2 Inbuilt Speaker, USB-C, Display Port, HDMI, White Color-29WQ600","18,249","M.R.P: ₹26,000₹26,000",4.3 out of 5 stars,"1,718",Display Resolution Maximum 2560 x 1080 Pixels,Screen Size 29 Inches,Brand LG,Refresh Rate 100 Hz,Generic Name Monitor,Item model number 29WQ600-W.ATR
"Lenovo Q-Series 24 Inch (60.5Cm) 1920x1080 Pixels FHD IPS Monitor | Height Adjustment, 2X3W Speakers, 75Hz, AMD FreeSync, HDMI, DP, Smart Display Customization, Raven Black","11,499","M.R.P: ₹20,490₹20,490",4.4 out of 5 stars,"2,235",Display Resolution Maximum 1920x1080,Screen Size 23.8 Inches,Brand Lenovo,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 66EEGAC3IN
"LG Electronics 24 inch (60 cm) QHD (2K) 2560 x 1440 Pixels, IPS-sRGB 99%, Height Adjust, Pivot (2Way), Swivel, Display Port, HDMIx 2, 3 Side Slim Border, Black Color - 24QP550","15,149","M.R.P: ₹25,000₹25,000",4.6 out of 5 stars,317,Display Resolution Maximum 2560 x 1440 Pixels,Screen Size 23.8 Inches,Brand LG,Refresh Rate 75 Hz,Generic Name Monitor,Item model number 24QP550-B.ATR
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32"") (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black","12,999","M.R.P: ₹29,999₹29,999",3.8 out of 5 stars,"1,633",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 80 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics AC32FHD LED Curved 75Hz 80cm (32"") 1920x1080 FHD resolution monitor with HDMI + VGA dual input, Built-in speaker, Wall mount facility, max 250 Nits brightness and Ultra slim bezel",Item model number ZEB-AC32FHD
"ZEBRONICS A24FHD LED Monitor, 24 inch (60.96cm), 250 nits, 75Hz, Slim Design, FHD, 1080p, Wall Mountable, HDMI, VGA, Ultra Slim Bezel, Metal Stand, Built-in Speakers","6,999","M.R.P: ₹24,999₹24,999",3.8 out of 5 stars,"1,648",Display Resolution Maximum 1920 X 1080 (FHD) Pixels,Screen Size 60.4 Centimetres,Brand ZEBRONICS,Refresh Rate 75 Hz,"Generic Name Zebronics ZEB-A24FHD Ultra slim LED monitor with 60.4cm (24”) wide screen, Full HD 1920x1080, 75Hz refresh rate, HDMI, VGA, 250cd/m² brightness, Built in speaker and wall mountable design",Item model number ZEB-A24FHD
